0,1,job_keyword,Time,Date
40.7127753,-74.0059728,Software,18:46,2024-12-30
33.0198431,-96.6988856,Software,18:46,2024-12-30
47.7510741,-120.7401386,Software,18:46,2024-12-30
40.0149856,-105.2705456,Software,18:46,2024-12-30
37.7911148,-122.4021273,Software,18:47,2024-12-30
39.7392358,-104.990251,Software,18:47,2024-12-30
43.6590993,-70.2568189,Software,18:47,2024-12-30
39.5835785,-104.8571368,Software,18:47,2024-12-30
35.2294139,-80.9247346,Software,18:48,2024-12-30
33.6041944,-117.8738554,Software,18:48,2024-12-30
38.8716687,-77.11687529999999,Software,18:48,2024-12-30
37.3813444,-122.1802812,Software,18:48,2024-12-30
40.32674069999999,-78.9219698,Software,18:48,2024-12-30
40.6843079,-74.2531465,Software,18:48,2024-12-30
37.7911148,-122.4021273,Software,18:49,2024-12-30
37.8271784,-122.2913078,Software,18:49,2024-12-30
41.8781136,-87.6297982,Software,18:49,2024-12-30
30.3415589,-97.75495459999999,Software,18:49,2024-12-30
38.8338816,-104.8213634,Software,18:49,2024-12-30
39.1202934,-76.77693239999999,Software,18:50,2024-12-30
35.0843859,-106.650422,Software,18:50,2024-12-30
40.6702217,-74.4273911,Software,18:50,2024-12-30
37.7749295,-122.4194155,Software,18:50,2024-12-30
37.36883,-122.0363496,Software,18:50,2024-12-30
29.3743552,-98.385532,Software,18:50,2024-12-30
37.7911148,-122.4021273,Software,18:51,2024-12-30
36.0196499,-79.7624177,Software,18:51,2024-12-30
45.505603,-122.6882145,Software,18:51,2024-12-30
41.74892029999999,-87.91839189999999,Software,18:51,2024-12-30
40.7882429,-74.2562099,Software,18:51,2024-12-30
41.4141172,-73.3035651,Software,18:52,2024-12-30
29.5642078,-95.09110620000001,Software,18:52,2024-12-30
40.7470968,-73.4828374,Software,18:52,2024-12-30
38.9071923,-77.0368707,Software,18:52,2024-12-30
39.1202934,-76.77693239999999,Software,18:52,2024-12-30
40.44062479999999,-79.9958864,Software,18:52,2024-12-30
39.9693,-86.16500239999999,Software,18:53,2024-12-30
38.9071923,-77.0368707,Software,18:53,2024-12-30
42.3517272,-71.0408624,Software,18:53,2024-12-30
39.9693,-86.16500239999999,Software,18:54,2024-12-30
